ID;Nome;Incorporadora;Bairro;Cidade;UF;Endereco;Status;Area_Min_m2;Area_Max_m2;Preco_Min;Preco_Max;Quartos;Suites;Vagas;Previsao_Entrega;Contato_Nome;Telefone;Email;WhatsApp;Comissao_PJ_%;Comissao_PF_%;Total_Unidades;Andares;Unid_por_Andar;Estoque;Data_Lancamento;Descricao;Website;Qtd_Arquivos;Apresentacoes;Books;Folders;Tabelas;URL_Orulo
"44252";"2700VG";"Deo Empreendimentos";"";"";"";"Visconde de Guarapuava";"Em construção";"18.9";"53.38";"329900";"";"";"";"";"";"Edilson";"(41) 98771-1098";"edilson.w@deoempreendimentos.com.br";"(41) 98771-1098";"4";"";"150";"";"";"20";"01/04/2023";"Rapidez, agilidade e mobilidade. No 2700VG você está próximo de tudo o que realmente interessa: shoppings centers, comércio de rua, restaurantes, academias, instituições de ensino, hospitais, teatros,";"";"2";"";"";"";"2700VG_Tabela_tabela_2700vg_abril_2026.pdf";"https://www.orulo.com.br/buildings/44252"
"44521";"Reserva Barigui Colina - Fase 2";"Avantti";"";"";"";"Clara Vendramin";"Em construção";"197.33";"458.42";"3939288";"";"";"";"";"";"Grupo Avantti";"(41) 99882-5251";"atendimento@grupoavantti.com";"(41) 99882-5251";"4";"";"48";"";"";"37";"01/05/2023";"O Reserva Colina apresenta vistas espetaculares do Parque Barigui, aliadas a uma arquitetura contemporânea e sofisticada. Apartamentos de 4 quartos com 184m² a 419m², nas opções: garden duplex, tipo o";"";"2";"";"";"";"Reserva_Barigui_Colina_-_Fase_2_Tabela_tabela_reserva_barigui_colina_-_fase_2_marco_2026.pdf";"https://www.orulo.com.br/buildings/44521"
"44526";"Manhattan Square";"Manhattan Empreendimentos Imobiliários";"";"";"";"Itupava";"Em construção";"22.05";"60.66";"310000";"";"";"";"";"";"Lauana";"41 99947-2942";"engelhornlauana@gmail.com";"41 99947-2942";"4";"4";"100";"";"";"44";"01/05/2023";"Mais que um lugar, um estilo de vida. Um espaço para aproveitar o melhor da cidade curitibana com o charme nova-iorquino. Studios de 22 a 60m² com sacada. Preço e disponibilidade do imóvel sujeitos a ";"";"4";"";"";"";"Manhattan_Square_Tabela_tabela_manhattan_square_marco_2026.pdf";"https://www.orulo.com.br/buildings/44526"
"44529";"Reserva Barigui Lago - Fase 2";"Avantti";"";"";"";"Rosa Neumann";"Em construção";"36.67";"156.49";"612389";"";"";"";"";"";"Grupo Avantti";"(41) 99882-5251";"atendimento@grupoavantti.com";"(41) 99882-5251";"4";"";"170";"";"";"32";"01/08/2022";"O Reserva Lago apresenta excelentes opções de plantas. São apartamento com 1 a 3 quartos, em formato de studio, loft, garden ou duplex. Alto padrão construtivo em um empreendimento com áreas comuns co";"";"2";"";"";"";"Reserva_Barigui_Lago_-_Fase_2_Tabela_tabela_reserva_barigui_lago_-_fase_2_marco_2026.pdf";"https://www.orulo.com.br/buildings/44529"
"44711";"Gaia";"Maken";"";"";"";"da Bandeira";"Em construção";"68.23";"167.68";"856000";"";"";"";"";"";"Deborah";"(41) 99198-9364";"relacionamento@makenincorporadora.com.br";"(41) 99198-9364";"4";"";"104";"";"";"49";"21/06/2023";"Um bairro onde a arquitetura e a infraestrutura fazem uma perfeita harmonia com a vastidão do verde que há na região. A localização proporciona a união entre a facilidade de morar em uma região com di";"";"2";"";"";"";"Gaia_Tabela_tabela_gaia_marco_2026.pdf";"https://www.orulo.com.br/buildings/44711"
"44734";"Meo Hauer";"Rottas Construtora";"";"";"";"Conde de São João das Duas Barras";"Em construção";"52.22";"64.08";"452997";"";"";"";"";"";"RICARDO";"(41) 99983-1700";"ricardo.cesar@rottasvendas.com.br";"(41) 99983-1700";"4";"";"80";"";"";"8";"01/05/2023";"Todo o conforto e segurança para você viver como sempre quis está aqui. Localizado no bairro Hauer, na região Sul da cidade, o MEO Hauer conta com uma infraestrutura completa, com tecnologia, acabamen";"";"2";"";"";"";"Meo_Hauer_Tabela_tabela_meo_hauer_marco_2026.pdf";"https://www.orulo.com.br/buildings/44734"
"45915";"Sangiovese";"Equilíbrio";"";"";"";"Augusto Severo";"Em construção";"110.33";"261.17";"1775684.45";"";"";"";"";"";"Central de Vendas";"(41) 99800-0444";"marketing@equilibrio.eng.br";"(41) 99800-0444";"4";"";"61";"";"";"19";"01/08/2023";"Localizado em um dos bairros mais charmosos de Curitiba, o Alto da Glória, próximo ao Centro Cívico, perto de tudo que você precisa. O Sangiovese é um empreendimento projetado com o objetivo de oferec";"";"2";"";"";"";"Sangiovese_Tabela_tabela_sangiovese_abril_2026.pdf";"https://www.orulo.com.br/buildings/45915"
"46351";"Trevi";"Laguna";"";"";"";"Hermes Fontes";"Em construção";"200.17";"534.04";"5038090";"";"";"";"";"";"Karen Bittencourt";"(41) 99840-3137";"";"(41) 99840-3137";"4";"";"26";"";"";"4";"20/06/2023";"Trevi é a concretização do seu novo lar. Para quem já sabia onde queria viver, o amor por um bairro chama. E quando menos se espera, acontece.Em plena Rua Hermes Fontes, em um espaço que começou como ";"";"2";"";"";"";"Trevi_Tabela_tabela_trevi_marco_2026.pdf";"https://www.orulo.com.br/buildings/46351"
"46932";"Place 757";"Bos Incorporações";"";"";"";"Herculano Carlos Franco de Souza";"Em construção";"95.28";"303.73";"1368126";"";"";"";"";"";"Merlym Lima";"(41) 99241-1469";"merlym.place757@gmail.com";"(41) 99241-1469";"4";"4";"28";"";"";"9";"01/07/2023";"Você pode viajar pelo mundo, mas quando voltar, o Place 757 será seu porto seguro. Cada detalhe deste projeto foi pensado para criar uma conexão com a natureza, trazendo harmonia e equilíbrio. Um luga";"";"2";"";"Place_757_Book_Book_place_757_2.pdf";"";"Place_757_Tabela_tabela_place_757_abril_2026.pdf";"https://www.orulo.com.br/buildings/46932"
"47096";"Amáz";"GT Building";"";"";"";"Fernando Simas";"Em construção";"164.76";"308.66";"3753420";"";"";"";"";"";"Leila Regina";"(41) 99186-1135";"leila.kuns@gtbuilding.com.br";"(41) 99186-1135";"4";"3";"45";"";"";"21";"01/05/2023";"Seu futuro lar, naturalmente perfeito. Localizado na área mais nobre do Champagnat, o AMÁZ é um empreendimento inspirado na Amazônia, que compensará 100% do carbono produzido em sua obra por meio de u";"";"2";"";"";"";"Amz_Tabela_tabela_amaz_abril_2026.pdf";"https://www.orulo.com.br/buildings/47096"
"47222";"Auth";"Vanguard PR";"";"";"";"Marechal Hermes";"Em construção";"58.17";"237.58";"861947.94";"";"";"";"";"";"Alexandre Santos";"(41) 98738-2069";"";"(41) 98738-2069";"";"";"60";"";"";"13";"01/09/2023";"Um empreendimento com arquitetura autoral e expressiva, que se conecta à região reconhecida pela efervescência cultural através de seus traços modernos, marcados pela ausência de linearidade em um arr";"";"1";"";"";"";"";"https://www.orulo.com.br/buildings/47222"
"47704";"Cravo Casa Nativa";"Hype";"";"";"";"Ponta Grossa";"Em construção";"66.18";"128.33";"746234.48";"";"";"";"";"";"Rafaela Oliveira (suporte ao corretor)";"(41) 99905-0281";"rafaela.oliveira@sejahype.com.br";"(41) 99905-0281";"4";"";"28";"";"";"10";"02/05/2023";"Cravo Apenas 28 unidades em torre única, com um elevador que atende perfeitamente à dinâmica do prédio. O térreo abriga 9 áreas compartilhadas, vagas de garagem e subsolo, enquanto os sete andares de ";"";"12";"";"";"";"Cravo_Casa_Nativa_Tabela_tabela_cravo_casa_nativa_abril_2026.pdf";"https://www.orulo.com.br/buildings/47704"
"48338";"Serra Dourada";"Treèle";"";"";"";"José de Oliveira Franco";"Em construção";"33.67";"66.08";"407767.14";"";"";"";"";"";"João Baptista";"(41) 98814-6609";"plataforma.treele@gmail.com";"(41) 98814-6609";"5";"5";"98";"";"";"25";"21/09/2023";"No ponto alto de um dos bairros mais altos de Curitiba, o Serra Dourada proporciona uma vista diferenciada e exclusiva para seus moradores, que buscam por uma vida com tranquilidade e conforto. A mode";"";"3";"";"";"";"Serra_Dourada_Tabela_tabela_serra_dourada_marco_2026.pdf";"https://www.orulo.com.br/buildings/48338"
"48851";"Mytá";"ALTMA";"";"";"";"Francisco Rocha";"Em construção";"147.84";"235.89";"2872152.77";"";"";"";"";"";"Matheus Vieira";"(41) 99877-0540";"matheus@altma.com.br";"(41) 99877-0540";"4";"4";"24";"";"";"6";"28/09/2023";"Um empreendimento completo com toda segurança, conforto e lazer que você merece. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.";"";"7";"Myt_Apresentação_Apresentacao_myta.pdf";"Myt_Book_Book_myta.pdf | Myt_Book_Book_myta_2.pdf";"";"Myt_Tabela_tabela_myta_marco_2026.pdf";"https://www.orulo.com.br/buildings/48851"
"49232";"Blentt - Residencial";"ATR Incorporadora PR";"";"";"";"Maranhão";"Em construção";"58";"119.58";"747956.29";"";"";"";"";"";"Hellida Zepechouka";"(41) 98717-2416";"hellida.comercial@atrincorporadora.com.br";"(41) 98717-2416";"4";"";"84";"";"";"7";"01/07/2023";"O empreendimento que tem tudo para impactar a cidade. Um local ímpar assim como quem escolher morar neste compacto de alto padrão com uma grande diversidade de plantas, design inovador e toda a qualid";"";"1";"";"";"";"Blentt_-_Residencial_Tabela_tabela_blentt_-_residencial_marco_2026.pdf";"https://www.orulo.com.br/buildings/49232"
"49233";"Blentt - Lojas";"ATR Incorporadora PR";"";"";"";"Maranhão";"Em construção";"66.56";"159.25";"1065891.84";"";"";"";"";"";"Hellida Zepechouka";"(41) 98717-2416";"hellida.comercial@atrincorporadora.com.br";"(41) 98717-2416";"4";"";"3";"";"";"3";"01/07/2023";"O empreendimento que tem tudo para impactar a cidade. Um local ímpar assim como quem escolher morar neste compacto de alto padrão com uma grande diversidade de plantas, design inovador e toda a qualid";"";"1";"";"";"";"Blentt_-_Lojas_Tabela_tabela_blentt_-_lojas_marco_2026.pdf";"https://www.orulo.com.br/buildings/49233"
"49266";"Yes Ecoville";"TM3 Incorporadora PR";"";"";"";"José Izidoro Biazetto";"Em construção";"55.21";"57.26";"618963.02";"";"";"";"";"";"Welder";"(41) 9877-0183";"welder@tm3incorporadora.com.br";"(41) 9877-0183";"4";"";"66";"";"";"46";"10/03/2024";"Apartamentos no Ecoville com 2 quartos, sendo uma suíte, plantas entre 53 e 57 m² e opções de garden com terraço de até 100 m². Projeto moderno com lazer completo, incluindo coworking, quadra de espor";"";"5";"Yes_Ecoville_Apresentação_Apresenta__o_yes_ecoville.pdf";"";"";"Yes_Ecoville_Tabela_tabela_yes_ecoville_marco_2026.pdf";"https://www.orulo.com.br/buildings/49266"
"49331";"Sensia Horizon";"Sensia Incorporadora PR";"";"";"";"Alberto Potier";"Em construção";"58.89";"73.89";"531990";"";"";"";"";"";"Bruna Scheffer Dias - Gerente de Produto";"(41) 99282-0535";"bruna.scheffer@mrv.com.br";"(41) 99282-0535";"";"";"248";"";"";"89";"01/09/2023";"Um empreendimento completo com toda segurança, conforto e lazer que você merece. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.";"";"3";"";"";"";"";"https://www.orulo.com.br/buildings/49331"
